pair_id,reference_path,search_path,metadata_path,gt_x,gt_y,gt_x1,gt_y1,gt_x2,gt_y2,box_width,box_height,architecture,seed,ref_width,ref_height,search_width,search_height,detector_noise_ref,detector_noise_search
59,FINALDATASET/data/references/reference_059.png,FINALDATASET/data/search_images/search_059.png,FINALDATASET/data/metadata/metadata_059.json,352.9,867.5,302.9,817.5,402.9,917.5,100,100,finfet_28nm,490295887,1000,1000,1000,1000,2.0,5.0
61,FINALDATASET/data/references/reference_061.png,FINALDATASET/data/search_images/search_061.png,FINALDATASET/data/metadata/metadata_061.json,299.1,618.5,249.1,568.5,349.1,668.5,100,100,finfet_7nm,42,1000,1000,1000,1000,2.0,5.0
62,FINALDATASET/data/references/reference_062.png,FINALDATASET/data/search_images/search_062.png,FINALDATASET/data/metadata/metadata_062.json,299.1,618.5,249.1,568.5,349.1,668.5,100,100,finfet_10nm,42,1000,1000,1000,1000,2.0,5.0
63,FINALDATASET/data/references/reference_063.png,FINALDATASET/data/search_images/search_063.png,FINALDATASET/data/metadata/metadata_063.json,299.1,618.5,249.1,568.5,349.1,668.5,100,100,finfet_14nm,42,1000,1000,1000,1000,2.0,5.0
64,FINALDATASET/data/references/reference_064.png,FINALDATASET/data/search_images/search_064.png,FINALDATASET/data/metadata/metadata_064.json,299.1,618.5,249.1,568.5,349.1,668.5,100,100,finfet_22nm,42,1000,1000,1000,1000,2.0,5.0
65,FINALDATASET/data/references/reference_065.png,FINALDATASET/data/search_images/search_065.png,FINALDATASET/data/metadata/metadata_065.json,299.1,618.5,249.1,568.5,349.1,668.5,100,100,finfet_28nm,42,1000,1000,1000,1000,2.0,5.0
66,FINALDATASET/data/references/reference_066.png,FINALDATASET/data/search_images/search_066.png,FINALDATASET/data/metadata/metadata_066.json,299.1,618.5,249.1,568.5,349.1,668.5,100,100,finfet_45nm,42,1000,1000,1000,1000,2.0,5.0
67,FINALDATASET/data/references/reference_067.png,FINALDATASET/data/search_images/search_067.png,FINALDATASET/data/metadata/metadata_067.json,753.4,629.5,703.4,579.5,803.4,679.5,100,100,finfet_7nm,42,1000,1000,1000,1000,2.0,5.0
68,FINALDATASET/data/references/reference_068.png,FINALDATASET/data/search_images/search_068.png,FINALDATASET/data/metadata/metadata_068.json,753.4,629.5,703.4,579.5,803.4,679.5,100,100,finfet_10nm,42,1000,1000,1000,1000,2.0,5.0
69,FINALDATASET/data/references/reference_069.png,FINALDATASET/data/search_images/search_069.png,FINALDATASET/data/metadata/metadata_069.json,753.4,629.5,703.4,579.5,803.4,679.5,100,100,finfet_14nm,42,1000,1000,1000,1000,2.0,5.0
70,FINALDATASET/data/references/reference_070.png,FINALDATASET/data/search_images/search_070.png,FINALDATASET/data/metadata/metadata_070.json,753.4,629.5,703.4,579.5,803.4,679.5,100,100,finfet_22nm,42,1000,1000,1000,1000,2.0,5.0
71,FINALDATASET/data/references/reference_071.png,FINALDATASET/data/search_images/search_071.png,FINALDATASET/data/metadata/metadata_071.json,753.4,629.5,703.4,579.5,803.4,679.5,100,100,finfet_28nm,42,1000,1000,1000,1000,2.0,5.0
72,FINALDATASET/data/references/reference_072.png,FINALDATASET/data/search_images/search_072.png,FINALDATASET/data/metadata/metadata_072.json,753.4,629.5,703.4,579.5,803.4,679.5,100,100,finfet_45nm,42,1000,1000,1000,1000,2.0,5.0
73,FINALDATASET/data/references/reference_073.png,FINALDATASET/data/search_images/search_073.png,FINALDATASET/data/metadata/metadata_073.json,299.1,618.5,249.1,568.5,349.1,668.5,100,100,finfet_7nm,42,1000,1000,1000,1000,2.0,5.0
74,FINALDATASET/data/references/reference_074.png,FINALDATASET/data/search_images/search_074.png,FINALDATASET/data/metadata/metadata_074.json,299.1,618.5,249.1,568.5,349.1,668.5,100,100,finfet_10nm,42,1000,1000,1000,1000,2.0,5.0
75,FINALDATASET/data/references/reference_075.png,FINALDATASET/data/search_images/search_075.png,FINALDATASET/data/metadata/metadata_075.json,917.2,270.5,867.2,220.5,967.2,320.5,100,100,finfet_14nm,296031924,1000,1000,1000,1000,2.0,5.0
76,FINALDATASET/data/references/reference_076.png,FINALDATASET/data/search_images/search_076.png,FINALDATASET/data/metadata/metadata_076.json,907.3,402.6,857.3,352.6,957.3,452.6,100,100,finfet_22nm,1663001994,1000,1000,1000,1000,2.0,5.0
79,FINALDATASET/data/references/reference_079.png,FINALDATASET/data/search_images/search_079.png,FINALDATASET/data/metadata/metadata_079.json,668.9,312.9,618.9,262.9,718.9,362.9,100,100,finfet_7nm,418215027,1000,1000,1000,1000,2.0,5.0
81,FINALDATASET/data/references/reference_081.png,FINALDATASET/data/search_images/search_081.png,FINALDATASET/data/metadata/metadata_081.json,647.7,460.6,597.7,410.6,697.7,510.6,100,100,finfet_14nm,1791526954,1000,1000,1000,1000,2.0,5.0
82,FINALDATASET/data/references/reference_082.png,FINALDATASET/data/search_images/search_082.png,FINALDATASET/data/metadata/metadata_082.json,950.0,675.8,900.0,625.8,1000.0,725.8,100,100,finfet_22nm,1186849634,1000,1000,1000,1000,2.0,5.0
83,FINALDATASET/data/references/reference_083.png,FINALDATASET/data/search_images/search_083.png,FINALDATASET/data/metadata/metadata_083.json,304.0,801.5,254.0,751.5,354.0,851.5,100,100,finfet_28nm,868027068,1000,1000,1000,1000,2.0,5.0
84,FINALDATASET/data/references/reference_084.png,FINALDATASET/data/search_images/search_084.png,FINALDATASET/data/metadata/metadata_084.json,788.6,221.5,738.6,171.5,838.6,271.5,100,100,finfet_28nm,610531011,1000,1000,1000,1000,2.0,5.0
85,FINALDATASET/data/references/reference_085.png,FINALDATASET/data/search_images/search_085.png,FINALDATASET/data/metadata/metadata_085.json,361.6,304.3,311.6,254.3,411.6,354.3,100,100,finfet_7nm,1694958448,1000,1000,1000,1000,2.0,5.0
86,FINALDATASET/data/references/reference_086.png,FINALDATASET/data/search_images/search_086.png,FINALDATASET/data/metadata/metadata_086.json,53.8,881.7,3.8,831.7,103.8,931.7,100,100,finfet_10nm,304448080,1000,1000,1000,1000,2.0,5.0
87,FINALDATASET/data/references/reference_087.png,FINALDATASET/data/search_images/search_087.png,FINALDATASET/data/metadata/metadata_087.json,119.5,588.7,69.5,538.7,169.5,638.7,100,100,finfet_14nm,1809172583,1000,1000,1000,1000,2.0,5.0
89,FINALDATASET/data/references/reference_089.png,FINALDATASET/data/search_images/search_089.png,FINALDATASET/data/metadata/metadata_089.json,639.3,322.2,589.3,272.2,689.3,372.2,100,100,finfet_28nm,1057242397,1000,1000,1000,1000,2.0,5.0
90,FINALDATASET/data/references/reference_90.png,FINALDATASET/data/search_images/search_090.png,FINALDATASET/data/metadata/metadata_090.json,239.8,553.4,189.8,503.4,289.8,603.4,100,100,finfet_45nm,969357382,1000,1000,1000,1000,2.0,5.0
92,FINALDATASET/data/references/reference_092.png,FINALDATASET/data/search_images/search_092.png,FINALDATASET/data/metadata/metadata_092.json,634.7,503.3,584.7,453.3,684.7,553.3,100,100,finfet_10nm,1854117960,1000,1000,1000,1000,2.0,5.0
94,FINALDATASET/data/references/reference_094.png,FINALDATASET/data/search_images/search_094.png,FINALDATASET/data/metadata/metadata_094.json,576.0,389.3,526.0,339.3,626.0,439.3,100,100,finfet_22nm,155934655,1000,1000,1000,1000,2.0,5.0
95,FINALDATASET/data/references/reference_095.png,FINALDATASET/data/search_images/search_095.png,FINALDATASET/data/metadata/metadata_095.json,169.1,231.1,119.1,181.1,219.1,281.1,100,100,finfet_28nm,1358434780,1000,1000,1000,1000,2.0,5.0
96,FINALDATASET/data/references/reference_096.png,FINALDATASET/data/search_images/search_096.png,FINALDATASET/data/metadata/metadata_096.json,901.4,893.3,851.4,843.3,951.4,943.3,100,100,finfet_45nm,1595439557,1000,1000,1000,1000,2.0,5.0
97,FINALDATASET/data/references/reference_097.png,FINALDATASET/data/search_images/search_097.png,FINALDATASET/data/metadata/metadata_097.json,292.4,277.1,242.4,227.1,342.4,327.1,100,100,finfet_7nm,594682415,1000,1000,1000,1000,2.0,5.0
98,FINALDATASET/data/references/reference_098.png,FINALDATASET/data/search_images/search_098.png,FINALDATASET/data/metadata/metadata_098.json,574.2,919.3,524.2,869.3,624.2,969.3,100,100,finfet_10nm,1167190795,1000,1000,1000,1000,2.0,5.0
99,FINALDATASET/data/references/reference_099.png,FINALDATASET/data/search_images/search_099.png,FINALDATASET/data/metadata/metadata_099.json,687.2,805.8,637.2,755.8,737.2,855.8,100,100,finfet_14nm,804713136,1000,1000,1000,1000,2.0,5.0
101,FINALDATASET/data/references/reference_101.png,FINALDATASET/data/search_images/search_101.png,FINALDATASET/data/metadata/metadata_101.json,905.6,848.1,855.6,798.1,955.6,898.1,100,100,finfet_28nm,677992343,1000,1000,1000,1000,2.0,5.0
106,FINALDATASET/data/references/reference_106.png,FINALDATASET/data/search_images/search_106.png,FINALDATASET/data/metadata/metadata_106.json,675.5,50.4,625.5,0.4,725.5,100.4,100,100,finfet_22nm,511858524,1000,1000,1000,1000,2.0,5.0
111,FINALDATASET/data/references/reference_111.png,FINALDATASET/data/search_images/search_111.png,FINALDATASET/data/metadata/metadata_111.json,310.6,950.0,260.6,900.0,360.6,1000.0,100,100,finfet_14nm,570220335,1000,1000,1000,1000,2.0,5.0
112,FINALDATASET/data/references/reference_112.png,FINALDATASET/data/search_images/search_112.png,FINALDATASET/data/metadata/metadata_112.json,76.5,862.1,26.5,812.1,126.5,912.1,100,100,finfet_22nm,1367007404,1000,1000,1000,1000,2.0,5.0
113,FINALDATASET/data/references/reference_113.png,FINALDATASET/data/search_images/search_113.png,FINALDATASET/data/metadata/metadata_113.json,231.2,92.0,181.2,42.0,281.2,142.0,100,100,finfet_28nm,312306086,1000,1000,1000,1000,2.0,5.0
114,FINALDATASET/data/references/reference_114.png,FINALDATASET/data/search_images/search_114.png,FINALDATASET/data/metadata/metadata_114.json,204.8,354.5,154.8,304.5,254.8,404.5,100,100,finfet_45nm,717388794,1000,1000,1000,1000,2.0,5.0
115,FINALDATASET/data/references/reference_115.png,FINALDATASET/data/search_images/search_115.png,FINALDATASET/data/metadata/metadata_115.json,831.7,400.2,781.7,350.2,881.7,450.2,100,100,finfet_7nm,1682215863,1000,1000,1000,1000,2.0,5.0
116,FINALDATASET/data/references/reference_116.png,FINALDATASET/data/search_images/search_116.png,FINALDATASET/data/metadata/metadata_116.json,563.3,333.4,513.3,283.4,613.3,383.4,100,100,finfet_10nm,1418260867,1000,1000,1000,1000,2.0,5.0
117,FINALDATASET/data/references/reference_117.png,FINALDATASET/data/search_images/search_117.png,FINALDATASET/data/metadata/metadata_117.json,895.3,113.4,845.3,63.4,945.3,163.4,100,100,finfet_14nm,589120205,1000,1000,1000,1000,2.0,5.0
118,FINALDATASET/data/references/reference_118.png,FINALDATASET/data/search_images/search_118.png,FINALDATASET/data/metadata/metadata_118.json,777.5,656.5,727.5,606.5,827.5,706.5,100,100,finfet_22nm,1039212928,1000,1000,1000,1000,2.0,5.0
119,FINALDATASET/data/references/reference_119.png,FINALDATASET/data/search_images/search_119.png,FINALDATASET/data/metadata/metadata_119.json,336.7,814.4,286.7,764.4,386.7,864.4,100,100,finfet_28nm,1127818833,1000,1000,1000,1000,2.0,5.0
120,FINALDATASET/data/references/reference_120.png,FINALDATASET/data/search_images/search_120.png,FINALDATASET/data/metadata/metadata_120.json,888.4,732.1,838.4,682.1,938.4,782.1,100,100,finfet_45nm,1535817362,1000,1000,1000,1000,2.0,5.0
